"Abteilung","Suchbegriff","Suchhäufigkeit","ASIN","Nr. 1 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 2 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 3 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","raclette grill","99.37","B000JUF98Y","Severin RG 2341 Raclette-Partygrill mit Naturgrillstein (1500 Watt, 8 Pfännchen), schwarz","17.84","3.21","B007HMT43I","Severin RG 2343 Raclette - Partygrill mit Naturgrillstein, schwarz","10.42","3.32","B001FRZLGA","ROMMELSBACHER RCC 1500 Fashion - RACLETTE - 1500 Watt - chrom","6.34","2.21","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sonyalpha 6000","99.37","B00IE9XHE0","Sony Alpha 6000 Systemkamera (24 Megapixel, 7,6 cm (3"") LCD-Display, Exmor APS-C Sensor, Full-HD, High Speed Hybrid AF) inkl. SEL-P1650 Objektiv schwarz","40.62","28.98","B00IE9XH90","Sony Alpha 6000 Systemkamera (24 Megapixel, 7,6 cm (3"") LCD-Display, Exmor APS-C Sensor, Full-HD, High Speed Hybrid AF) inkl. SEL-P1650 und SEL-55210 Objektiv schwarz","16.24","36.27","B00IMV066W","SONY ALPHA 6000 SILVER + 16-50 + 55-210","11.02","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","under armour herren","99.37","B01HJ0YRDY","Under Armour Herren Fitness T-shirt und Tank Ua Tech Ss Tee","8.44","0","B00LEILJQ6","Under Armour Herren Kapuzenjacke CC Storm Rival Full-Zip","7.11","0","B01KHJJ392","","5.4","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","winterstiefel mädchen","99.37","B00PFY3IPK","","4.24","0","B00EE70RJE","Lico Mary V Mädchen Warm gefütterte Schneestiefel","3.73","0","B01H3EP0UK","","2.83","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","black-roll","99.36","B004E2TDHQ","Blackroll Orange (Das Original) - Faszienrolle inkl. Übungs-DVD, Übungsposter & Booklet. Die Massagerolle für die Faszien, auch Foam Roller, Gymnastikrolle, Fitnessrolle genannt, zur Selbstmassage und Behandlung des Bindegewebes. Qualität Made in Germany","26.01","1.43","B01IRAKI42","","11.81","0","B008YWIO86","Blackroll - DAS ORIGINAL Standard (hard) Farbe schwarz + DVD + Übungsanleitung","9.62","13.51","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","buff","99.36","B01JS8QS5K","Buff Erwachsene Multifunktionstuch Original, 108836.00","31.33","0","B004GUSWZA","Buff Multifunktionstuch Polar","7.55","0","B00J7L4U4U","Buff Erwachsene Multifunktionstuch Polar Neckwarmer, Schwarz, One Size, 107921.00","6.22","1.85","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","canon 80d","99.36","B01C2XJVPC","Canon EOS 80D SLR-Digitalkamera (24,2 Megapixel, 7,7 cm (3 Zoll) Display, APS-C CMOS Sensor, 45 AF-Kreuzsensoren, DIGIC 6 Bildprozessor, NFC und WLAN, Full HD) nur Gehäuse schwarz","74.94","7.24","B01C2XJWZ6","Canon EOS 80D SLR-Digitalkamera (24,2 Megapixel, 7,7 cm (3 Zoll) Display, DIGIC 6 Bildprozessor, NFC und WLAN, Full HD) Kit inkl. EF-S 18-55mm 1:3,5-5,6 IS STM schwarz","12.05","47.24","B01CJMBXUC","Canon EOS 80D 18-135mm IS USM, 1263C042","3.86","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","das paket","99.36","3426199203","Das Paket: Psychothriller","93.75","53.7","3805250010","Totenfang (David Hunter, Band 5)","2.31","0.21","3404175018","Das Joshua-Profil: Thriller","1.72","4.73","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kinderrucksack","99.36","B0197ZO4SM","Vaude Unisex - Kinder Rucksack Ayla, grenadine, 29 x 21 x 12 cm, 6 Liter, 14878","8.63","3.08","B01GGYG4OO","Jack Wolfskin Little Joe Unisex - Kinder Rucksack, Azalea Paw, 32 x 29 x 2 cm, 11 Liter, 26221-7932","6.98","3.17","B004LU19LE","Lässig Mini Backpack Kinderrucksack Kindergartentasche, Brotdosenfach unten, Mushroom magenta Pink","5.52","1.75","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","knipex","99.36","B000RVIZ18","Knipex 78 61 125 – Präzisionszange Electronic Super Knips, brüniert","7.61","3.35","B000XUMYLK","KNIPEX 00 21 20 Werkzeugkoffer Elektro 20-teilig","5.68","1.87","B0001P0CK2","Knipex 86 05 250 Zangenschlüssel, Griffe mit Mehrkomponenten-Hülle, 250 mm","4.25","0.86","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","top model","99.36","B01LXA7N9S","TOPModel 6468 - Loopschal, farblich sortiert","6.87","7.54","B007PU33WA","TOPModel 6921 - Create your Make-Up Malbuch","6.22","3.2","B01CL5TWRI","TOPModel 7209 - Malbuch","5.15","3.02","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","b01hf3rncc|b01hf3mqhy","99.35","B01HF3RNCC","Das goldene Album","84.89","36.84","B01HF3MQHY","Das goldene Album [Vinyl LP]","12.09","63.12","B01LCPWZKE","Imperator (Deluxe Box)","1.29","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","bücher neuerscheinungen 2016","99.35","1534870067","","7.08","19.96","3548286577","Ich bin zu alt für diesen Scheiß: Roman","6.68","2.31","3810524719","Und nebenan warten die Sterne","5.33","0.93","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","dakine rucksack","99.35","B00SV9P8XG","Dakine Herren Rucksack Campus, Hawthorne, 51 x 33 x 23 cm, 33 Liter, 8130057-S16","13.02","6.33","B0174AC7U4","DAKINE Rucksack Wonder, Ellie Ii, 46 x 30 x 15 cm, 15 Liter, 08210043","9.73","4.8","B01HJ1AC50","","4.1","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","der kleine lord","99.35","B01LP5FCMO","Der kleine Lord","70.2","18.38","B01LP5FCZ6","Der Kleine Lord [Blu-ray]","12.42","2.96","B004TDIVJG","Der Kleine Lord","5.42","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","drone","99.35","B013J39S0M","DJI Phantom 3 Standard","15.98","1.04","B01959FR90","Amewi 25163 - Luftfahrt - UFO AM X51 FPV inklusive HD-Cam, 2.4 GHz","10.03","0","B00G7G76YE","Revell Control 23971 - Mini Quadrocopter Nano, farblich sortiert","8.52","9.01","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gopro 5","99.35","B01LYTQY22","GoPro HERO5 Black Action Kamera (12 Megapixel) schwarz/grau","67.71","47.97","B01LX76CKG","GoPro HERO5 Session Action Kamera (10 Megapixel) schwarz/grau","11.1","11.42","B01L2CP126","GoPro Super-Anzug Über Schutz mit Tauchgehäuse für HERO5 schwarz","3.29","14.69","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gummistiefel herren","99.35","B003TO51NU","Dunlop Gummistiefel 380 BV DU380BV Herren Stiefel","19.97","0","B003TO51NK","Dunlop Dee Kurzstiefel -Gummistiefel,Regenstiefel, Arbeitsstiefel","7.94","0","B00S16A0NM","Dunlop K486061 GEV.LRS.BLIZZ GROEN Unisex-Erwachsene Halbschaft Gummistiefel","5","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kamera","99.35","B009ZM9R4O","Fujifilm 16443876 Instax Mini 8 Sofortbildkamera (62 x 46 mm) pink","13.95","4.49","B01CQPABLE","Canon EOS 1300D Digitale Spiegelreflexkamera (18 Megapixel, APS-C CMOS-Sensor, WLAN mit NFC, Full-HD) Kit inkl. EF-S 18-55mm IS Objektiv schwarz","10.27","0.25","B00THKEKEQ","Nikon Coolpix L340 Digitalkamera (20,2 Megapixel, 28-fach opt. Zoom, 7,6 cm (3 Zoll) LCD-Display, USB 2.0, bildstabilisiert) schwarz","9.7","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kinderleichte becherküche","99.35","B01M0U1AOM","Kinderleichte Becherküche 03636 Backset 4-tlg. für Kinder inkl. Messbecher","27.3","25.61","3981617266","Kinderleichte Becherküche 03636 Backset 6-tlg. für Kinder inkl. Messbecher","24.17","40.92","3981617207","","17.02","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","pulsuhr","99.35","B000I6FN5I","Beurer PM 25 Pulsuhr","20.37","30.14","B00OBZKT2E","POLAR Trainingscomputer M400 HR, Schwarz, 90051341","8.52","0.04","B00NPZ7WNU","POLAR Trainingscomputer M400, Schwarz, 90051092","7.17","0.14","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sennheiser","99.35","B0007XJSQC","Sennheiser HD 201 Kopfhörer (Kraftvoller Stereosound) schwarz","10.07","2.96","B0042A8CW2","Sennheiser HD 598 ohrumschließender Kopfhörer beige","7.33","1.99","B001EZYMF4","Sennheiser CX 300 II Precision In-Ear-Kopfhörer (1,2 m Kabellänge, 3,5 mm Klinkenstecker, Tragetasche, Earadapterset S/M/L) schwarz","6.97","4.41","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sitzsack","99.35","B00LM48HDU","Mesana XXL Lounge-Sessel, ca. 100x90x80 cm, Sitzsack für Outdoor & Indoor, wasserabweisend, viele verschiedene Farben, apfelgrün","11.79","7.55","B00E4TSKO6","ROOMOX Original XXL Sitzsack für drinnen und draußen Stoff 160 x 120 x 30 cm, schwarz","11.2","5.66","B009VD1FSI","Intex 68579NP Beanless Bag Chair phthalates-free, grau, 107 x 104 x 69 cm","7.89","2.83","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","stirnlampe","99.35","B00UAJ2CXO","Petzl Stirnlampe Tikkina, Black, E91HNE","27.68","6.33","B00FYVF62C","LED Lenser H7R.2 Box, Stirnlampe","13.11","2.19","B00UAJ0Z3I","Petzl Stirnlampe Tikka, brown, One size, E93HNE","7.85","8.39","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","treppenschutzgitter","99.35","B00GO4N698","Hauck 597026 Open'n Stop Safety Gate","23.68","7.3","B004AKIH7O","Geuther 2733 Schwenk-Treppenschutzgitter, 70 - 111cm, weiß","12.27","2.26","B01G4WERBU","Safety 1st Quick Close ST Treppenschutzgitter, extra sicheres Metall-Türschutzgitter zum Klemmen, weiß, 73 - 80 cm, Möglichkeit der Verlängerung bis zu 136 cm verlängerbar (ab ca. 6 - 24 Monate)","9.67","3.27","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","becherküche","99.34","3981617266","Kinderleichte Becherküche 03636 Backset 6-tlg. für Kinder inkl. Messbecher","29.74","34.29","B01M0U1AOM","Kinderleichte Becherküche 03636 Backset 4-tlg. für Kinder inkl. Messbecher","26.69","15.09","3981617207","","16.22","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","beschriftungsgerät","99.34","B0030E5WYW","Dymo LetraTag LT-100H Etikettendrucker Handgerät","21.99","9.61","B013RMY2E2","Brother P-touch D400 Beschriftungsgerät für das Homeoffice und Büro","11.48","5.56","B005SRAU50","Dymo LabelManager 160 Tragbares Beschriftungsgerät","10.17","6.57","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","captain future","99.34","B01JOCMU7K","Captain Future - Komplettbox [Blu-ray]","45.43","18.13","B01JM6OQDO","Captain Future Komplettbox BD (Limited Collector's Edition exklusiv bei Amazon.de) [Blu-ray]","30.37","16.23","B01JOCMU3O","Captain Future Vol. 1 [Blu-ray]","8.08","7.9","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fear the walking dead","99.34","B01KKI597U","","50.62","0","B01DW8ZAI8","","22.26","0","B01L0RHVUI","Fear the Walking Dead - Die komplette zweite Staffel - Uncut [Blu-ray]","12.71","21.38","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","handschuhe herren","99.34","B01HTXA2M6","","15.48","0","B0063GJYUM","Jack Wolfskin Unisex Handschuhe Knitted Stormlock, phantom, M, 1900921-6350003","7.43","1.97","B001TDBAVU","Odlo Herren Gloves Warm, Black, M, 10640","6.67","4.72","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","jamie oliver","99.34","3831031606","Weihnachtskochbuch","20.49","4.56","3831028931","Jamies Superfood für jeden Tag: GENIAL kochen, GESUND genießen, GLÜCKLICH sein","15.33","4.19","3831031592","GENIAL GESUND: Superfood for Family & Friends","13.71","7.64","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","küchenrollenhalter","99.34","B001HHACHG","Leifheit 25703 Wandrollenhalter Parat ComfortLine","10.3","0.19","B007E7ZLEW","Kela 16920 Küchenrollenhalter, 33,5 cm Höhe, Edelstahl, Matt, Rollo","8.46","1.41","B002LLN828","WENKO 2310100 Küchenrollenhalter, verchromtes Metall, 12 x 32 x 12 cm, Silber glänzend","8.01","5.57","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lego dimensions","99.34","B01H0GAGGE","LEGO Dimensions - Story Pack - Phantastische Tierwesen","11.37","1.63","B01FYJXHW4","LEGO Dimensions - Level Pack - Sonic The Hedgehog","6.18","2.38","B01HP5XR0M","LEGO Dimensions - Team Pack - Gremlins","5.91","1.42","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lenkrad pc","99.34","B000LY293Q","Hama PC-Racing-Wheel ""Thunder V18"", mit Gas und Bremspedal, mit USB-Anschluss","12.71","7.42","B00YUIM2J0","Logitech G29 Racing Lenkrad Driving Force für PS4, PS3 und PC","10.66","0.47","B005K1SI8A","Thrustmaster Ferrari 458 Italia Lenker - [Xbox 360, PC]","8.49","9.62","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lutherbibel 2017","99.34","3438033054","Die Bibel nach Martin Luthers Übersetzung - Lutherbibel revidiert 2017: Jubiläumsausgabe 500 Jahre Reformation. Mit Sonderseiten zu Luthers Wirken als Reformator und Bibelübersetzer. Mit Apokryphen","35.33","3.11","3438033100","Die Bibel nach Martin Luthers Übersetzung - Lutherbibel revidiert 2017: Standardausgabe. Mit Apokryphen","15.33","7.13","396038016X","","9.68","4.66","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sims 4 großstadtleben","99.34","B01LXI96H8","Die Sims 4: Großstadtleben - Erweiterungspack - [PC]","79.4","55.82","B01LZSCEOV","Die Sims 4: Großstadtleben - [PC] - Erweiterungspack - [AT-Pegi]","11.92","39.53","B01GDQYOGU","Die Sims 4 Bundle Pack 3","3.48","1.35","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","smart home","99.34","B015TCCAHO","Telekom Smart Home Heizkörperthermostat, 40291341","12.47","34.97","B00OCRFG74","iSmartAlarm Preferred Package Überwachungssystem","11.99","0","B00AQ9E77M","AVM Intelligente Steckdose FRITZ!DECT 200","7.11","1.23","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","xbox 360","99.34","B005FPD0O8","Xbox 360 - Konsole Slim 250 GB, schwarz-matt","19.9","0","B002MD3B4K","Xbox 360 - Konsole Elite 120 GB inkl. Wireless Controller","14.69","0","B00DYSBMPM","Xbox 360 - 250 GB","8.91","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","xbox controller","99.34","B004JU0JSK","Xbox 360 Controller (geeignet für Windows) schwarz","26.81","18.91","B00NM3GIQC","Xbox One Wireless Controller (geeignet für Windows)","21.35","10.06","B01GVN10VM","Xbox Wireless Controller Weiß","7.88","0.3","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","apple","99.33","B000E3CNLM","Apple MacBook Pro MB471 15,4 Zoll WXGA+ Notebook (Intel Core 2 Duo 2.53GHz, 4GB RAM, 320GB HDD, DVD+/-RW, GF9600M GT, Mac OS X)","22.54","0","B008L10GW2","iCreation i-450 Docking Station für Apple iPhone weiß","14.52","84.36","B008ATNI98","Apple MacBook Pro Retina Display MC975D/A 39,1 cm (15,4 Zoll) Notebook (Intel Core i7 3615QM, 2,3GHz, 8GB RAM, 256GB Flashspeicher, NVIDIA GT 650M, Mac OS)","8.17","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","bügelbrettbezug","99.33","B002LLN7NI","WENKO 1201143100 Bügeltischbezug Air Comfort L - 4 mm Komfortpolsterung, 100 % Baumwolle, Blau","20.25","8.68","B00B81RHGK","Vileda Premium 2 in 1 Bügeltischbezug für eine kürzere Bügelzeit","12.23","6.91","B0028PXLOC","LEIFHEIT Bezug BT Univer. 140x45 cm Schnurzug + Spannclip, 1 Stueck, sortiert","7.56","5.84","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fenstersicherung","99.33","B009W1P1XY","HomeSecure hs2861 Band Jammer Schlüssel Verriegelungs-Kit – Weiß","10.75","6.84","B00186X78W","ABUS Fenster-Zusatzschloss FTS3003, weiß, 28409","9.77","1.51","B001CK11TQ","Burg Wächter Fenstersicherung weiß WD 3 W SB, Herstellerbestellnummer: 302514","6.33","3.2","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","handkreissäge","99.33","B002L4596I","Bosch Professional Handkreissäge GKS 190 (mit 1 Sägeblatt 190 mm, 70 mm Schnitttiefe, 1,400 W) blau, 0601623000","20.94","13.84","B002EX2Y6E","Bosch DIY Kreissäge PKS 55 A, 1 Hartmetallsägeblatt Speedline Holz, Parallelanschlag, Karton (1200 W, Nenn-Ø Sägeblatt 160 mm, 0 – 55 mm Schnitttiefenbereich bei 90°)","12.24","1.16","B00FKK78GE","Metabo Handkreissäge KS 55 Aktion, 6.00855.00","5.04","4.36","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","hazet","99.33","B004H4CCJM","HAZET Werkstattwagen mit Sortiment 178-6/169","5.34","0","B004EXVHRE","HAZET Steckschlüssel-Satz 853-1","4.97","3.48","B00J04N8PG","HAZET Schlagschrauber extra kurz 9012M","","","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kinder cd player","99.33","B0145FI0PW","X4-TECH Bobby Joey Kinder MP3-CD-Player mit Akku grün","10.7","4.33","B0028R3B90","Lenco SCD-24 Stereo UKW-Radio mit CD-Player und Teleskopantenne pink","9.79","2.44","B00N54UHD8","AEG CDK 4229 Karaoke CD Player","8.73","9.38","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","regenhose","99.33","B002QUZL9W","Regatta Packaway II, Athmungsaktive Überhose","23.07","0","B00DCKLX3I","","9.1","0","B00HAB6EDY","CMP Damen Regenhose","7.54","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","spielküche","99.33","B004PVGH0W","Theo Klein 9155 - Miele Küche Gourmet International, Spielzeug","11.83","8.06","B00151SPA0","Theo Klein 9090 - Miele Spielküche ""Petit Gourmet"" mit Geräusch und Zubehör, 95 cm, Spielzeug","10.14","12.15","B00IEDWZLC","Hape E8018 Küchentraum, weiß","6.76","6.37","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","star trek","99.33","B01IUWFAP4","Star Trek 13 - Beyond [Blu-ray]","28.83","1.21","B00ERN3XFA","","28.3","0","B00DW0H8FU","Star Trek - Stardate Collection [Blu-ray]","5.08","2.75","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tischtennisschläger","99.33","B000SE5VXY","HUDORA Tischtennisschläger New Topmaster","12.25","7.41","B00140AI9I","JOOLA Tischtennis-Schläger Rosskopf Smash","9.24","3.86","B003HC8HTE","JOOLA Tischtennis-Set Family","7.66","4.71","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender star wars","99.32","B01CCT393G","LEGO Star Wars 75146 - Adventskalender","40.35","7.52","B00V8KQTDI","Craze 52106 - Adventskalender Star Wars","21.28","6.81","B01CZMWE72","Topps D105363 - Adventskalender Disney Star Wars Force Attax 2016, bunt","9.38","5.46","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","breaking bad","99.32","B00W2UEHWS","Breaking Bad - Die komplette Serie [Blu-ray]","64.71","2.65","B00W2UEH2S","Breaking Bad - Die komplette Serie (21 Discs)","8.85","6.01","B003X6UEXQ","Breaking Bad - Die komplette erste Season [3 DVDs]","4.23","15.41","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","elementary staffel 3","99.32","B00T8JUZW2","","94.42","0","B01962M3DE","Elementary - Die dritte Season [6 DVDs]","4.24","94.52","B00JR7S7U2","","0.68","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gleitgel","99.32","B007NC8Z0A","Durex Perfect Glide, 1er Pack (1 x 50 ml)","17.84","0.7","B003VQXLZ6","HYDRO Sensitiv Gleitgel von Ritex, Frei von Konservierungsstoffen, Gynäkologisch getestet, extra sensitiv, ph-hautneutral, Made in Germany, 50 ml","15.65","7.44","B00UCZOQ1M","Durex Play Prickelnd Gleit- und Erlebnisgel, 1er Pack (1 x 50 ml)","11.28","2.23","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","harry potter box","99.32","B01K1EHAC0","Harry Potter - The Complete Collection [8 DVDs]","54.75","46.07","3551555532","Harry Potter: 7 Bände im Schuber","10.82","0","1408856778","Harry Potter: The Complete Collection","9.3","22.69","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kristalle züchten","99.32","B006YTU40M","KOSMOS 643522 - Kristalle züchten","44.66","20.09","B0051CS3R4","Clementoni 69172.2 - Galileo - Kristalle selbst züchten - Mega","13.51","14.74","B001XCWGSI","Ravensburger 18883 - ScienceX: Kristalle züchten und Edelsteine","10.78","17.02","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nike pullover","99.32","B00RD8IRK2","Nike Jungen Kapuzenpullover Team Club, black/football white, S (128-137), 658500-010","25.18","18.16","B00GYUQEKK","Nike Unisex - Kinder Sweatshirt Team Club Crew, schwarz, M, 658941-010","9.06","7.23","B01MCZATB6","","6.13","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","peppa wutz","99.32","3845103981","Peppa: Tolle Vorlesegeschichten mit Peppa","9.3","2.91","B001TH4YO6","TY 7196230 - Peppa Large - Schwein mit rotem Kleid und Bär, 25 cm","6.54","4.82","B00M0LWPLY","BIG 57078 - Playbig Bloxx Peppa Pig Haus","6.3","2.9","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","whiskey","99.32","B004NDJK24","Cooley's Irish Whiskey Miniaturen-Set (4 x 0.05 l)","12.51","1.32","B00CEZ2HDC","Dalwhinnie 15 Jahre Highland Single Malt Scotch Whisky (1 x 0.7 l)","11.51","2.26","3848006863","101 Whiskys: die man probiert haben muss","6.05","5.08","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","world of warcraft","99.32","B01AM42KL0","World of Warcraft: Legion (Add-On) - [PC/Mac]","20.37","20.92","B01FYOWT4Q","Warcraft: The Beginning [Blu-ray]","12.68","0.4","B00F8BGHQM","World of Warcraft","12.49","21.2","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","amazon gutschein","99.31","B0054PDOV8","Amazon.de Gutschein per E-Mail (A wie Amazon)","34.27","1.64","B0054PDP2Q","Amazon.de Gutschein zum Drucken (A wie Amazon)","25.26","1.59","B00X67BVFM","Amazon.de Grußkarte mit Geschenkgutschein - 30 EUR (Happy Birthday Ballons)","18.7","4.41","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","arztkoffer für kinder","99.31","B0002ML3MK","Theo Klein 4383 - Arztkoffer 10-teilig, 27cm","19.94","5.69","B0002GTFUS","Theo Klein 4350 - Arztkoffer mit Handy","16.3","4.86","B0002ML3RA","Theo Klein 4685 - Arztkoffer, groß, transparent","13.92","5.66","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","crocs damen","99.31","B00LA1SKLE","Crocs Crocband Unisex - Erwachsene Clogs","9.9","0","B00B4ETBPG","Crocs Classic Unisex - Erwachsene Clogs","7.18","0","B01B8DLAWO","","4.69","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","familienplaner","99.31","3866793227","FamilienPlaner 2017 Wand-Kalender, Chäff-Timer, 5 Spalten, 22,5 x 42cm, 12 Monate Jan - Dez 2017","8.58","2.78","3731817403","Familienplaner Farbenspiel 2017: Familientimer mit Ferienterminen und Vorschau bis März 2018","6.24","3.92","3731817314","XL Familienplaner 2017: Familientimer mit Ferienterminen und Vorschau bis März 2018","4.85","2.68","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","freundebuch schule","99.31","3407794754","Mein Kinder Künstler Freundebuch","7.12","2.35","B01DKRYG2C","Goldbuch 43 943 -  Freundebuch A5 Eule auf Ast, 72 Illustrierte Seiten, Sortiert, 21 x 15 cm","5.49","4.05","B015SN7Y0W","Meine Freunde - Mit zauberhaften Ausmalbildern","4.27","0.86","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kerzen","99.31","B006GFRIKI","Papstar 17915 Stumpenkerzen ø 40 x 90 mm, 10 Stück, weiß","18.37","7.49","B00AHEWH5U","Papstar 17991 Stumpenkerzen ø 60 x 115 mm, 6 Stück, creme","17.77","7.34","B003U3NZ5Q","Papstar 17967 50 Leuchterkerzen 2.2 x 25 cm, champagner","10.39","11.95","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kinderbesteck","99.31","B000UP8DYK","Zwilling J.A. Henckels AG 07009-210 Bino 4-tlg. Kinderbesteck","14.23","10.71","B000XG3HIS","WMF Kinderbesteck-Set 4-teilig Tiere Cromargan Edelstahl Rostfrei 18/10 poliert ab 3 Jahre geeignet mit geprägten Motiven","8.87","4.26","B00BHRNHBY","Silit Kinderbesteck-Set 4-teilig Aquarama Crominox Edelstahl poliert ab 3 Jahre geeignet mit geprägten Motiven","6.02","3.31","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kinderspielzeug","99.31","B00PI0M2DK","Mattel Fisher-Price CDG57 - Lernspaß Tablet, grau","6.97","2.69","B00000JICB","Tomy Kinderspiel ""Pop Up Pirate"" - hochwertiges Aktionsspiel für die ganze Familie - Piratenspiel verfeinert die Geschicklichkeit Ihres Kindes - ab 4 Jahre","4.39","2.99","B001KQ0UI0","Mattel Fisher-Price P4326 - Meine erste Toilette, Töpfchen","3.46","3.25","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nexo knights","99.31","B013JQDXKA","LEGO Nexo Knights 70317 - Fortrex - Die rollende Festung","12.98","3.84","B01CCT2FLI","LEGO Nexo Knights 70323 - Jestros Vulkanfestung","12","2.24","B01CCT2FGS","LEGO Nexo Knights 70321 - General Magmars Schicksalsmobil","6.22","3.06","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","philips sonicare ersatzbürsten","99.31","B00YMN5L78","Philips Sonicare HX6064/31 Original DiamondClean Aufsteckbürsten Standard, 4er Pack, weiß","26.32","15.6","B00YMN5L46","Philips Sonicare HX6018/31 Original ProResults Aufsteckbürsten Standard, 8er Pack, weiß","20","22.84","B00YMN5KSS","Philips Sonicare HX9004/31 Original InterCare Aufsteckbürsten Standard, 4er Pack, weiß","8.6","0.74","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","rotlichtlampe","99.31","B007AZPEOU","Medisana IRH Infrarot-Lampe 100 Watt (zur Entspannung der Muskulatur oder Behandlung von Erkältungen)","24.83","18.03","B001Q3S39K","Beurer IL 50 Infrarot-Wärmestrahler","17.36","2.95","B0009G5C62","Beurer IL 30 Infrarotlampe","16.89","2.83","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","zelda","99.31","B00KX8DQIM","The Legend of Zelda: Breath of the Wild  - [Wii U]","24.93","12.08","B01FWK09UI","The Legend of Zelda: Ocarina of Time 3D - Nintendo Selects - [3DS]","6.35","3.27","3842032315","The Legend of Zelda 11: Twilight Princess 01","3.93","3.71","","","","","","","","","","","","","","","","","","","","","",""
